序号,动作编码,当前名称,当前器械,当前一级分类,当前子分类,当前主动肌,当前主动肌region,当前协同肌,当前协同肌region,名称结论,分类结论,肌群结论,总评,建议名称,建议器械,建议一级分类,建议子分类,建议主动肌,建议主动肌region,建议协同肌,建议协同肌region,调整建议,事实依据摘要,证据ID,原备注
1,BB_BENCH_PRESS,杠铃卧推,杠铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,杠铃卧推,杠铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留
2,DB_BENCH_PRESS,哑铃卧推,哑铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,哑铃卧推,哑铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留
3,INCLINE_BB_PRESS,上斜杠铃卧推,杠铃,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,上斜杠铃卧推,杠铃,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留
4,INCLINE_DB_PRESS,上斜哑铃卧推,哑铃,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,上斜哑铃卧推,哑铃,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留，线上高频
5,DECLINE_BB_PRESS,下斜杠铃卧推,杠铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,下斜杠铃卧推,杠铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,保留
6,DECLINE_DB_PRESS,下斜哑铃卧推,哑铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,下斜哑铃卧推,哑铃,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,保留
7,SMITH_BENCH_PRESS,史密斯卧推,史密斯,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,史密斯卧推,史密斯,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留
8,INCLINE_SMITH_BENCH_PRESS,上斜史密斯卧推,史密斯,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,上斜史密斯卧推,史密斯,胸,上胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留，线上有历史
9,DECLINE_SMITH_BENCH_PRESS,下斜史密斯卧推,史密斯,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,下斜史密斯卧推,史密斯,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,保留
10,MACHINE_CHEST_PRESS,器械推胸,器械,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,通过,通过,通过,通过,器械推胸,器械,胸,中下胸,胸大肌,chest,三角肌前束、肱三头肌,deltFront|triceps,保留当前名称、分类和肌群。,水平/上斜/下斜推举类的主目标与当前胸部分类一致；前束和三头作为协同肌合理。,E1|E2|P0,必留
